"elev_ind";"lus_unclassified_mean";"lus_glacier_mean";"lus_agriculture_mean";"lus_bog_mean";"lus_lake_mean";"lus_forest_mean";"lus_bare_mountain_mean";"lus_urban_mean";"elevation_mean";"area_sum"
1.0;2.861607142857143;0.0;23.066964285714285;1.5892857142857142;9.691964285714286;59.276785714285715;0.7857142857142857;1.6116071428571428;74.85714285714286;14.0
2.0;6.0;0.0;4.389705882352941;0.9007352941176471;0.01838235294117647;79.28308823529412;9.397058823529411;0.011029411764705883;306.47058823529414;17.0
3.0;10.3984375;0.0;0.01171875;0.703125;0.43359375;46.203125;42.25;0.0;501.875;16.0
4.0;1.6136363636363635;0.0;0.0;0.2784090909090909;0.07954545454545454;29.09659090909091;68.93181818181819;0.0;699.8181818181819;11.0
5.0;0.8375;2.890625;0.0;0.134375;1.965625;4.2;89.971875;0.0;899.55;20.0
6.0;0.4296875;9.9375;0.0;0.0390625;0.5546875;0.0;89.0390625;0.0;1069.125;8.0
7.0;0.0;19.21875;0.0;0.0;0.359375;0.0;80.421875;0.0;1304.5;4.0
8.0;0.0;10.875;0.0;0.0;0.0;0.0;89.125;0.0;1466.5;2.0
